Date,Time,Location,Description
13/10/23,,Gaza,"Over the past day, the IDF conducted raids in the territory of Gaza in an effort to eliminate the threat of terrorists and weapons in the area and locate hostages. IDF soldiers searched and collected evidence that would assist in the effort to locate hostages. In addition, IDF soldiers thwarted terrorist cells and infrastructure located in the area, including a Hamas cell that fired anti-tank missiles toward Israeli territory. In addition, the IAF continued its strikes on Hamas terror targets in Gaza, as well as strikes on anti-tank missile launchers immediately after they attacked Israel."
13/10/23,,Lebanon,"Following sirens which sounded in Misgav Am, the IDF spotted an unidentified target which crossed from Lebanon into Israeli territory, which was succesfully intercepted by the IDF Aerial Defense Array."
13/10/23,,Unknown,"Following recent reports, IDF searches in the area have ruled out an infiltration into the community of Hanita. Furthermore, a shooting was identified toward a number of military posts at the Lebanese border. IDF soldiers responded with tank fire toward Hezbollah terrorist infrastructure. In addition, IDF artillery fired toward the source of the shooting. IDF soldiers are deployed in the area."
13/10/23,17:53,Lebanon,"A short while ago, incoming fire was identified from Lebanon toward Israeli territory by the Lebanon border. IDF soldiers are currently responding with tank and artillery fire toward the source of the live fire. Details to follow."
13/10/23,17:03,Israel,"A short while ago, there was an explosion at the security fence adjacent to the community of Hanita (Northern Israel). The fence was lightly damaged. The IDF is currently responding with artillery fire toward Lebanese territory. Additionally, an alert was activated concerning the infiltration of terrorists into the community. IDF soldiers are currently searching the area ."
13/10/23,17:02,Unknown,Sirens sounded in the city of Tel Aviv and the Gush Dan area.
13/10/23,15:18,Gaza,"Following the initial report regarding sirens sounded in northern Israel, one rocket was fired from the Gaza Strip toward the area of northern Israel . The IDF Aerial Defense Array successfully intercepted the rocket."
13/10/23,12:48,Gaza,"The Hamas terrorist organization uses the roofs of residential homes in the Gaza Strip as launch sites for its hostile UAVs . Based on IDF intelligence, IAF aircraft targeted dozens of these launch sites. This is further proof Hamas deliberately uses civilian building for military purposes."
13/10/23,08:03,Unknown,"The IDF struck 750 military targets overnight, including underground Hamas terror tunnels, military compounds and posts, residences of senior terrorist operatives used as military command centers, weapons storage warehouses, comms rooms and targeted senior terrorist operatives. View full information here"
13/10/23,07:18,Gaza,"IDF Spokesperson, RAdm. Daniel Hagari: "" The IDF is not fighting Gaza's civilians ; we are fighting the Hamas terrorist organization that brought destruction upon them and built its entire operational strategy in a way that puts civilian lives at risk. They then scream for the whole world to hear that civilians are being harmed. We cannot live with the Hamas-ISIS rule adjacent to our border. The IDF has the responsibility of defending the State of Israel and operating in a significant manner."""
13/10/23,07:12,Gaza,"The following is the IDF announcement sent to civilians of Gaza City The IDF calls for the evacuation of all civilians of Gaza City from their homes southwards for their own safety and protection and move to the area south of the Wadi Gaza, as shown on the map. The Hamas terrorist organization waged a war against the State of Israel and Gaza City is an area where military operations take place. This evacuation is for your own safety. You will be able to return to Gaza City only when another announcement permitting it is made. Do not approach the area of the security fence with the State of Israel. Hamas terrorists are hiding in Gaza City inside tunnels underneath houses and inside buildings populated with innocent Gazan civilians. Civilians of Gaza City, evacuate south for your own safety and the safety of your families and distance yourself from Hamas terrorists who are using you as human shields. In the following days, the IDF will continue to operate significantly in Gaza City and make extensive efforts to avoid harming civilians."
12/10/2023,23:17,Gaza,"IDF fighter jets struck five residences operationally used by Hamas terror operatives, including the residence of a ""Nukhba"" (Naval Commando) operative, a terrorist operative of the ""resistance committee"", and an additional Hamas operations residence, where Yahya Sinwar's brother was presumably present. IDF fighter jets also struck a Hamas monitoring situation room that monitored and traced IDF activity. As part of the strike, two terrorist operatives were targeted in the situation room. Attached is a video of the IDF strikes in Gaza: https://videoidf.azureedge.net/ac3bf53e-8a22-46f6-8ead-d0dace0d34b4"
12/10/2023,19:30,Unknown,Watch the Chief of the General Staff's address to the nation here
12/10/2023,18:49,Gaza,IDF fighter jets are currently striking numerous terror targets belonging to the Hamas terrorist organization in the Gaza Strip.
12/10/2023,17:57,Unknown,"A short while ago, IDF soldiers identified and neutralized a terrorist in the area of Kibbutz Kissufim . The soldiers are continuing searches in the area."
12/10/2023,17:38,Israel,Following the report regarding the sirens that sounded in northern Israel: The IDF Aerial Defense Array launched an interceptor following an aerial identification. The sirens were activated as a result of the interceptor launch. It is currently being checked if it was a positive identification.
12/10/2023,16:40,Israel,"A short while ago, an interceptor was launched in northern Israel following an aerial identification, an initial investigation shows that this was not a hostile aircraft and it was a false interception."
12/10/2023,15:14,Gaza,The IDF is continuing to strike terror targets belonging to the Hamas terrorist organization in the Gaza Strip
12/10/2023,11:12,Unknown,"Attached is a photo that was taken in Kibbutz Sufa, where an ISIS flag is seen among the equipment of Hamas terrorists: https://idfanc.activetrail.biz/ANC12102355"
12/10/2023,07:44,Unknown,"Overnight, the IDF conducted a wave of strikes targeting the Hamas terrorist organization's Nukhba elite commando forces . View full announcement here ."
12/10/2023,06:00,Unknown,"Attached is a link of the IDF website, where further updates on the fallen soldiers have been published (in Hebrew): https://www.idf.il/59780"
12/10/2023,04:39,Gaza,The IDF is currently conducting a large-scale strike on terror targets belonging to the Hamas terrorist organization in the Gaza Strip.
12/10/2023,00:44,Gaza,The IDF is continuing to strike terror targets in the Gaza Strip Attached is a video of the strikes and thwarting of a terrorist identified in the sea: https://bit.ly/48PpOq5 Attached is a video of the strike on a multi-story building used by the Islamic Jihad terrorist organization: https://bit.ly/3FdxsNr Attached is a video of the strike on targets belonging to the Hamas terrorist organization in the Gaza Strip: https://bit.ly/3LUKXFH
11/10/2023,23:17,Gaza,The IDF is continuing to strike terror targets belonging to the Hamas terrorist organization in the Gaza Strip.
11/10/2023,22:56,Gaza,"In recent days, combat engineering soldiers in the Gaza Division have been completing efforts to repair and reinforce breaches made in the security fence. Hamas terrorists severely damaged the fence when they infiltrated into Israel Saturday morning and terrorized Israeli civilians in southern Israel. The IDF soldiers also worked to remove and neutralize explosives hidden along the Gaza security fence. Additional work on the security fence is expected in the coming days. At the same time, Israeli Air Force aircraft, including combat helicopters and UAVs, provided an additional layer of defense for the soldiers and scanned the area to ensure the safety of the soldiers and the residents of the area surrounding the Gaza Strip. Attached is a sync of the Commanding Officer of the Combat Engineering Corps of the Gaza Division, LTC Y (find translation here ): https://bit.ly/46pKgfO"
11/10/2023,20:47,Unknown,-
11/10/2023,,Gaza,Sirens continue to sound in the the area surrounding the Gaza Strip.
11/10/2023,20:45,Unknown,"IDF soldiers identified a number of vehicles with terrorists in an area adjacent to Kibbutz Nir Am. An IDF tank responded by firing toward them, and thwarted three terrorists. IDF soldiers are continuing to conduct searches in the area."
11/10/2023,19:59,Lebanon,"Following the reports regarding an infiltration into Israeli air space from Lebanon, as of right now, a suspected infiltration has been ruled out."
11/10/2023,19:58,Unknown,The reports regarding instructions to remain in the shelters across the country are a human error. There is no such instruction. We ask residents to follow the instructions of the Home Front Command and act accordingly.
11/10/2023,19:52,Gaza,"Initial report - Sirens sounded in the city of Rehovot, Rishon LeZion, and the area surrounding the Gaza Strip."
11/10/2023,19:42,Unknown,"Attached is a link of the IDF website, where further updates on the fallen soldiers have been published (in Hebrew): https://www.idf.il/59780"
11/10/2023,19:40,Gaza,"Following reports regarding an infiltration from Lebanon into Israeli air space, no impacts were identified in Israeli territory . IAF aircraft and IDF soldiers are conducting searches. More details to follow. We ask residents to follow the instructions of the Home Front Command and act accordingly. Additionally, following the initial report regarding sirens that sounded in the Hof HaCarmel Regional Council in northern Israel, a rocket launch was identified from Gaza. No interceptors were launched, according to protocol."
11/10/2023,18:31,Lebanon,"Following the initial report regarding a suspected infiltration from Lebanon into Israeli air space, all civilians in the areas where sirens were sounded are asked to enter shelters and stay in them until further notice. Attached is a link of the Home Front Command website: https://www.oref.org.il/12481-en/Pakar.aspx"
11/10/2023,18:23,Lebanon,A report was received regarding a suspected infiltration from Lebanon into Israeli air space. Details to follow.
11/10/2023,17:30,Unknown,"IDF infantry, combat engineering and armored corps personnel fought terrorists in the Be’eri and Re'im kibbutzim (communities). The terrorists in Kibbutz 'Be’eri' were dressed in IDF uniforms and started shooting at the soldiers. In response, forces from the Armored Corps fired tank shells at the terrorists. IDF soldiers then cleared houses in the area. A Battalion Commander at the Kfir Brigade Training Base, LTC Faiz Faras and forces from the Kfir Training Base encountered a terrorist inside a bomb shelter in Kibbutz 'Re’im'. An exchange of fire ensued. The soldiers rescued a young civilian and neutralized the terrorist. Attached is a sync of the Commanding Officer of the 99th Division, BG Barak Hiram: https://bit.ly/3rL00uO Attached is a sync of the Deputy Commander of the Kfir Brigade, LTC Guy Basson: https://bit.ly/46rpM6u Attached are related photos: https://IDFANC.activetrail.biz/ANC1110456789074"
11/10/2023,15:29,Unknown,The Chief of the General Staff arrived at the Southern Command and met with commanders and reservists in order to approve plans for the continuation of the fighting.
11/10/2023,,Israel,Sirens continue to sound in southern Israel.
11/10/2023,13:32,Gaza,"The IDF emphasizes that the area of the Gaza Division has been declared a closed military zone and reiterates that entry is strictly prohibited and constitutes a serious security risk, as well as a criminal offense . IDF soldiers are conducting combat activity in the area. Entering it endangers lives as well as harms the IDF’s activities. The IDF asks the public to be alert, and not to enter the prohibited area in order to allow the security forces to continue to carry out their missions. Attached is a map of the area in the Gaza Division that has been declared as closed military zone: https://IDFANC.activetrail.biz/ANC111020236854"
11/10/2023,,Lebanon,"IDF aircraft struck terror targets belonging to the Hezbollah terrorist organization in Lebanon in response to the anti-tank missile fired at IDF soldiers a short while ago In response to the anti-tank missile fired at IDF soldiers a short while ago, an IDF aircraft struck a military observation post belonging to the Hezbollah terrorist organization in southern Lebanon. Furthermore, IDF artillery struck the area from which the launch originated."
11/10/2023,,Israel,"Following the sirens which sounded in northern Israel, upon investigation, the sirens were sounded as a result of IDF fire in the area. No launches were identified toward Israeli territory."
11/10/2023,,Israel,Sirens sound in northern Israel
11/10/2023,,Israel,sirens continue to sound in southern Israel
11/10/2023,,Gaza,"A short while ago, IDF fighter jets struck an important operational and military center for the Hamas terrorist organization in the Gaza Strip - the Islamic University. The university was being used as a Hamas training camp for military intelligence operatives , as well as for the development and production of weapons . Hamas used university conferences in order to raise funds for terrorism . The university maintained close ties with the senior leadership of Hamas. This is another example of how the Hamas terror organization uses civilian institutions in order to promote terrorist activity against Israel ."
11/10/2023,11:07,Unknown,"In response to the anti-tank missiles that were launched at IDF soldiers a short while ago, the IDF is currently striking in Lebanese territory ."
11/10/2023,10:33,Lebanon,"A short while ago, a launch of an anti-tank missile from Lebanon toward a military post adjacent to the community of Arab Al-Aramshe on the Lebanese border was identified."
11/10/2023,08:47,Gaza,The IDF is continuing to strike terror targets belonging to the Hamas terrorist organization in the Gaza Strip.
11/10/2023,08:07,Gaza,"IDF aircraft destroyed the advanced detection systems developed by the Hamas terrorist organization, which were used for the detection of aircraft over the Gaza Strip."
11/10/2023,07:55,Gaza,"Overnight, IDF fighter jets struck over 80 targets in Beit Hanoun in the Gaza Strip, including two bank branches, an underground tunnel and two operational command centers . Furthermore, the IDF struck two Hamas terror compounds used for training, manufacturing and storing weapons . In addition, terror infrastructure located in the residence of a Hamas naval operative was struck. In addition, an Islamic Jihad operational command center was targeted. Fighter jets also struck infrastructure used by Lui Kapisha , an ex-prisoner and a senior operative in Hamas' Headquarters in Judea and Samaria. The jets also struck an Islamic Jihad weapons storage facility and base for its operatives located inside a mosque."
11/10/2023,06:47,Gaza,"During the last hours, Hamas naval targets, including the Khan Yunis and Gaza docks , were struck. They were struck using artillery fire from missile boats, IDF helicopters and ground artillery batteries. In addition, Israeli Naval forces killed a Hamas diver who attempted to infiltrate into Israel from the Gaza shores earlier today."
11/10/2023,04:11,Gaza,"For the third time in 24 hours, the IDF is conducting extensive strikes in Gaza. A short while ago, dozens of fighter jets struck over 200 targets in Al-Furqan. This is the third strike in the area during the last 24 hours, in which the IDF struck 450 targets overall. Al-Furqan, a neighborhood in northern Gaza , is used as a terror hub for the Hamas terrorist organization, from which Hamas directs a large number of terror attacks against Israel . The IDF will continue to operate against Hamas terror infrastructure that directs terror against Israel."
11/10/2023,01:56,Israel,Dozens of fighter jets struck over 70 targets in the Daraj Tuffah area a short while ago The area is used as a terror hub for the Hamas terrorist organization and a large number of terror attacks against Israel are carried out from within it. Terrorist infrastructure used by the Islamic Jihad terrorist organization was also struck. The IDF will continue to operate against Hamas terror infrastructure that direct attacks against Israel.
11/10/2023,00:54,Israel,"The first plane carrying US armaments landed at the Nevatim Air Force base in southern Israel The armaments are designed to facilitate significant military operations and increase preparedness for other scenarios. We are grateful for the U.S. backing and assistance to the IDF, and the State of Israel as a whole, during this challenging period. Our common enemies know that the cooperation between our militaries is stronger than ever, and is a key part in ensuring regional security and stability."
10/10/2023,23:20,Gaza,The IDF is continuing to strike terror targets belonging to the Hamas terrorist organization in the Gaza Strip.
10/10/2023,23:07,Unknown,"During the last hour, IDF soldiers, backed by a helicopter and UAV, conducted an exchange of fire with a number of terrorists in the Ashkelon Industrial Area . The soldiers killed three terrorists and are continuing to conduct searches in the area. A fire broke out in the area during the incident, and fire forces are on their way to the scene."
10/10/2023,22:46,Israel,"Following the previous report regarding launches from Syria into Israeli territory, IDF soldiers are responding with artillery and mortar shells toward the origin of the launching in Syria ."
10/10/2023,22:37,Israel,"A short while ago, a number of launches from Syria into Israeli territory were identified , part of the launches crossed into Israeli territory and presumably fell in an open area"
10/10/2023,20:38,Unknown,"Initial report- A short while ago, IDF soldiers killed two terrorists in the area of Kibbutz Re'im. The soldiers are conducting searches in the area."
10/10/2023,20:17,Unknown,"Today (Tuesday), the Chief of the General Staff, LTG Herzi Halevi, held a situational assessment at the Northern Command , together with the Commanding Officer of the Northern Command and the commanders of the forces deployed in the area, as part of the IDF's assessments of all arenas."
10/10/2023,19:35,Gaza,IDF soldiers neutralized two terrorists in the area of Kibbutz Mefalsim . An ongoing exchange of fire and searches after an additional terrorist are currently taking place. IDF soldiers are continuing to conduct extensive strikes against terrorist organizations in the Gaza Strip.
10/10/2023,19:03,Unknown,"In response to the anti-tank missile that was launched from Lebanese territory toward an IDF vehicle in the area of Avivim a short while ago, an IDF helicopter struck an observation post belonging to the Hezbollah terrorist organization . No IDF injuries were reported."
10/10/2023,18:49,Unknown,"In response to the rocket launches identified from Lebanese territory a short while ago, IDF tanks struck two observation posts belonging to the Hezbollah terrorist organization ."
10/10/2023,18:30,Unknown,Approximately 15 rockets were launched from Lebanese territory . The IDF Aerial Defense Array successfully intercepted four rocket launches. 10 launches fell in open areas.
10/10/2023,17:49,Israel,"In response to the launches identified from Lebanese territory toward Israeli territory, IDF soldiers are currently responding with artillery fire."
10/10/2023,17:46,Gaza,The IDF is currently striking terror targets belonging to the Hamas terrorist organization on the coast of the Gaza Strip.
10/10/2023,,Gaza,The IDF is continuing to strike terror targets belonging to the Hamas terrorist organization in the Gaza Strip.
10/10/2023,,Israel,"Overnight, an IDF aircraft struck Zachariah Abu Ma'amar , a senior member of the Hamas terrorist organization's political bureau and head of its office for internal relations. He was involved in the organization's decision-making and the planning of numerous terror activities against the State of Israel."
10/10/2023,,Gaza,"Overnight, an IDF aircraft struck Joad Abu Shmalah , the Hamas Minister of Economy in the Gaza Strip. As part of his role, he managed the funding of terrorism inside and outside the Gaza Strip. He held security positions in the terrorist organization and led a number of operations targeting Israeli civilians and the State of Israel."
10/10/2023,15:31,Gaza,"A short while ago, dozens of IDF fighter jets struck over 100 targets in Al Forqan in the Gaza Strip . Furthermore, the IDF struck in the Rafah area, including an underground tunnel for smuggling weapons and equipment."
10/10/2023,14:56,Unknown,"A short while ago, IDF soldiers thwarted four armed terrorists in the area of Zikim Beach ."
10/10/2023,12:36,Gaza,The IDF is currently conducting a wide-scale strike on terror targets belonging to the Hamas terrorist organization in the Gaza Strip.
10/10/2023,12:34,Gaza,"A short while ago, IDF fighter jets struck a number of Hamas terror targets in the Gaza Strip, including a military compound and a weapons storage site. Furthermore, an operational situation room in Jabalia used by Hamas to direct terrorist attacks against Israel was struck."
10/10/2023,11:45,Unknown,The suspicion of an aerial infiltration in the area of the Golan Heights and the Upper Galilee has been ruled out . There is no risk of a security incident.
10/10/2023,11:16,Israel,"IDF soldiers identified an armed terrorist squad adjacent to the security fence in the Zikim area in Israeli territory. A short while after, an IDF helicopter struck the terrorist squad ."
10/10/2023,11:09,Unknown,A report was received regarding a suspected aerial infiltration in the area of the Golan Heights and the Upper Galilee. IDF soldiers are directing IDF aircraft and conducting searches in the area .
10/10/2023,07:16,Gaza,The IDF is currently conducting wide-scale strikes on multiple targets belonging to the Hamas terrorist organization in the Gaza Strip.
09/10/2023,23:34,Gaza,Israel Naval Forces are currently striking terror targets belonging to the Hamas terrorist organization on the coast of the Gaza Strip.
09/10/2023,21:51,Israel,"A short while ago, in response to the launches identified from Lebanese territory toward Israeli territory, IDF soldiers are currently responding with artillery fire ."
09/10/2023,21:10,Israel,A number of launches from Lebanese territory into Israeli territory were identified. No injuries were reported.
09/10/2023,20:48,Gaza,"The IDF struck targets in the Rimal area in the Gaza Strip Earlier today, dozens of IDF fighter jets struck targets in the Rimal area ."
09/10/2023,20:47,Israel,"Earlier today, following exchanges of fire near the Lebanese border, armed terrorists were identified infiltrating Israeli territory. IDF soldiers were immediately dispatched to the area following the identification , exchanges of fire ensued during which two of the armed terrorists were killed. One of the terrorists escaped back into Lebanese territory. The incident has concluded and there is no fear of an additional security incident . During the exchanges of fire, IDF aircraft struck three military posts belonging to the Hezbollah terrorist organization."
09/10/2023,20:45,Israel,"Following the announcement by the IDF Spokesperson, the IDF wishes to clarify that we have the details of most of the kidnapped Israelis . As of this time, the IDF has notified the families of 30 of those who were kidnapped. The professionals responsible for informing the families will continue to do so. The IDF will continue its efforts to locate those who were kidnapped and will keep updating the public regarding this matter."
09/10/2023,17:53,Gaza,"The IDF struck targets in the Al Forqan area in the Gaza Strip Earlier today, dozens of IDF fighter jets struck several targets in the Al Forqan area."
09/10/2023,16:55,Unknown,IDF helicopters are currently striking in Lebanese territory.
09/10/2023,16:09,Israel,"Following the initial report regarding sirens sounding in northern Israel, 2 launches of mortar shells toward Israeli territory were identified . One of the launches fell in Lebanese territory. No injuries were reported."
09/10/2023,,Israel,"IDF soldiers neutralized a number of armed suspects that infiltrated into Israeli territory from Lebanese territory. The soldiers are continuing to search the area. Additionally, IDF helicopters are currently striking in the area"
09/10/2023,,Israel,A report was received regarding the infiltration of a number of suspects into Israeli territory from Lebanese territory. IDF soldiers are deployed in the area.
09/10/2023,,Israel,Initial report - Sirens sounded in northern Israel .
09/10/2023,,Gaza,"The IDF is continuing to strike terrorist targets in Gaza; A number of significant strategic centers were struck earlier this morning, including a weapons compound and an entry point to an underground attack tunnel, an Islamic Jihad command center located inside a mosque and a Hamas command center."
09/10/2023,,Gaza,IDF soldiers neutralized a terrorist in the area of Kibbutz Kfar Aza . IDF soldiers will continue their effort to neutralize terrorist operatives in the area surrounding the Gaza Strip.
09/10/2023,,Unknown,"IDF Spokesperson Daniel Hagari: ""We are in control of all towns and communities in the south. There could be more terrorists in the area we are continuing to clear it. we are in the midst of wide-scale aerial strikes, thousands of terrorist targets have been struck and hundreds of terrorists have been neutralized. we have called in 300,000 reservists  over the past 48 hours, and there is no lack in equipment or food. Everything will come, patience is essential."
09/10/2023,,Gaza,"Overnight, IDF fighter jets, helicopters, aircraft and artillery struck over 500 Hamas and Islamic Jihad terrorist targets in Gaza 7 Hamas command centers and an Islamic Jihad command center were struck. The IDF also struck numerous multi-story buildings, one of them, the residence of Ruhi Mashtaa, secretary of the Hamas and part of the organization's decision-making group, contained a Hamas terrorist activity command center, from which he helped direct the invasion into Israel. A building that was operationally used by a senior operative of the Hamas terrorist organization's naval forces was also targeted. Additionally, 3 terrorist tunnels were struck in the area of Beit Hanoun. Two Hamas operational assets were struck by an aircraft, one of them was located inside a mosque. An Islamic Jihad asset located in a building in which terrorists operate and live was also targeted."
09/10/2023,,Israel,Sirens continue to sound in southern Israel
09/10/2023,,Gaza,"IDF aircraft continue to strike in Gaza and severely damage the capabilities of the Hamas terrorist organization. The IDF targeted a structure which housed Hamas terrorist organization operatives. simultaneously, several Hamas operational command centers were targeted, among them, a three-floor command center and a command center belonging to Mahmad Kashta , a senior operative of the Hamas terrorist organization's naval forces. The IDF also targeted a Hamas operational site, located in a mosque, in the city of Jabalia. An intelligence asset and an additional asset that was used for directing Hamas terrorist activity. terrorist infrastructure were also targeted."
08/10/2023,,Israel,"During the last hours, a missile boat struck three rocket launchers aimed toward Israeli territory."
08/10/2023,,Israel,Sirens sounding in central Israel
08/10/2023,,Gaza,"An hour ago, an IDF aircraft targeted a terrorist who attempted to cross the security fence from the Gaza Strip into Israeli territory."
08/10/2023,,Unknown,"A short while ago, IDF soldiers opened fire at a number of terrorists who shot at communities in northern Samaria (the area of the Menashe Brigade) and neutralized them. The soldiers apprehended one of the wounded terrorists. Several improvised explosive devices were found inside the trunk of the motorcycle used by the terrorists. No IDF injuries were reported, the soldiers continue searches in the area."
08/10/2023,,Unknown,The IAF’s helicopter squadrons evacuated over 180 wounded.
08/10/2023,,Israel,"The IDF struck in Shuja'iyya during recent hours. Dozens of fighter jets struck 150 targets in Shuja'iyya. Shuja'iyya is used as a ""terror nest"" for the Hamas terrorist organization. Many attacks against Israel originated in it, including during the recent invasion. In parallel, terror infrastructure in the residence of Farah Hamed, a senior operative belonging to the Hamas terrorist organization, was targeted. The site was located adjacent to a mosque and three schools, which demonstrates that the Hamas terrorist organization takes advantage of holy sites and civilians to advance terror operations."
08/10/2023,,Gaza,"A short while ago, IDF fighter jets struck two strategic targets of the Hamas terrorist organization in a multi-story buildings in the Gaza Strip. A bank branch of the ""Islamic National Bank"" in the Rimal neighborhood was struck by fighter jets. In addition, a command center used by Munzer Faraj, a senior Hamas operative was struck."
08/10/2023,,Unknown,The Chief of the General Staff in a situational assessment in the Southern Command with the Commanding Officer of the Southern Command and members of the General Staff
08/10/2023,19:31,Unknown,-
08/10/2023,,Gaza,Sirens continue to sound in the area surrounding Gaza
08/10/2023,,Unknown,"Due to the security situation, residents in Kibbutz Mefalsim and the city of Sderot are asked to stay inside their homes until further notice and follow the instructions of the IDF Home Front Command."
08/10/2023,,Unknown,IDF naval vessels used precise munitions to target a number of posts belonging to Hamas' naval forces.
